# table produced by calculations.DamageProfiler
# using mapped file ERR1014019_rmdup.bam
# Sample ID: ERR1014019_rmdup.bam
pos	5pC>T
1	0.00441257584114727
2	0.003394014193150262
3	0.001145147437732608
4	0.0006055101422948834
5	0.0012254901960784314
6	0.0012449424214130097
7	0.0012368583797155227
8	0.001464986815118664
9	0.0018209408194233688
10	0.0015151515151515152
11	0.002134146341463415
12	0.0020939276099311995
13	0.0015015015015015015
14	0.0024509803921568627
15	0.001525320317266626
