# table produced by calculations.DamageProfiler
# using mapped file ERR1014019_rmdup.bam
# Sample ID: ERR1014019_rmdup.bam
pos	3pG>A
1	0.014201762977473066
2	0.0051813471502590676
3	0.0009136592051164915
4	0.0018867924528301887
5	0.004100227790432802
6	0.0009165902841429881
7	0.0017667844522968198
8	0.0034393809114359416
9	0.000847457627118644
10	0.0024242424242424242
11	0.0019880715705765406
12	0.002390438247011952
13	0.0007564296520423601
14	0.0011797090051120724
15	0.001472211998527788
