#Position (bp)	Coverage	Std
3921452.5	8.695758611861117E-5	0.014030889308611962
1.17643565E7	7.369719175448277E-5	0.008577277421333648
1.96072605E7	8.198493823206302E-5	0.009019280418761197
2.74501645E7	1.9253072586378718E-5	0.004373278952275506
3.52930685E7	2.1165629465820313E-5	0.004600611857766347
4.31359725E7	2.7795826647884507E-5	0.005235772652817938
5.09788765E7	2.409821668096409E-5	0.004908993448861395
5.88217805E7	3.6976099669204164E-5	0.006070304430359435
6.66646845E7	0.0	0.0
7.45075885E7	0.0	0.0
8.23504925E7	1.1347837484686794E-5	0.0033686551448147365
9.01933965E7	7.178463487504119E-5	0.008465053519209339
9.80363005E7	0.0	0.0
1.058792045E8	0.0	0.0
1.137221085E8	1.5810470203383847E-5	0.0039601725229364785
1.215650125E8	4.143873238790122E-5	0.007920345045872957
1.294079165E8	0.0	0.0
1.372508205E8	0.0	0.0
1.450937245E8	0.0	0.0
1.529366285E8	2.1165629465820313E-5	0.0045448448046076576
1.607795325E8	0.0	0.0
1.686224365E8	0.0	0.0
1.764653405E8	0.0	0.0
1.843082445E8	6.999958178756236E-5	0.009075651470167381
1.921511485E8	0.0	0.0
1.999940525E8	0.0	0.0
2.078369565E8	4.628387648248659E-5	0.006793848150387512
2.156798605E8	4.590136510659827E-5	0.006746766168373553
2.235227645E8	6.209434668587043E-5	0.007855688086347505
2.313656685E8	4.0163694468273484E-5	0.006337483291360498
2.392085725E8	1.3005386780202843E-5	0.003588576735732437
2.46190323E8	4.5093640375277115E-5	0.006703003626755265
2.50111775E8	0.0	0.0
2.548943805E8	3.2003451782656016E-5	0.005657159338630654
2.627372845E8	0.013003219215739477	0.777806810658886
2.705801885E8	1.5810470203383847E-5	0.003862375390824206
2.784230925E8	3.5318550373688115E-5	0.005942941222466205
2.862659965E8	1.6702996747123258E-5	0.004086929990484698
2.941089005E8	0.0	0.0
3.019518045E8	1.2367867820388979E-5	0.00351679794989547
3.097947085E8	3.1620940406767695E-5	0.005611901336873709
3.176376125E8	4.10562210120129E-5	0.0063975555659994176
3.254805165E8	0.0	0.0
3.333234205E8	1.6575492955160486E-5	0.0040713011378625
3.411663245E8	2.307818634526191E-5	0.004790687064847706
3.490092285E8	8.632006715879731E-5	0.00922198618732264
3.568521325E8	0.0	0.0
3.646950365E8	0.0	0.0
3.725379405E8	1.797803466675099E-5	0.004224988860906998
3.803808445E8	0.0	0.0
3.882237485E8	1.1475341276649567E-5	0.003387527310096491
3.960666525E8	8.16024268561747E-6	0.0028342086891502355
4.039095565E8	7.762430854693619E-4	0.0916915755914431
4.117524605E8	3.315098591032097E-5	0.005735501575834099
4.195953645E8	2.907086456751224E-5	0.0053917404024593244
4.274382685E8	7.318717658663169E-5	0.010112271809744037
4.352811725E8	0.013443999824554782	0.9495220854997296
4.431240765E8	1.032780714898461E-5	0.0032136905807785246
4.509669805E8	2.1930652217596952E-5	0.004683017426574126
4.588098845E8	0.0	0.0
4.666527885E8	8.440751027935571E-5	0.00916651509045108
4.744956925E8	0.0	0.0
4.823385965E8	4.475383097893331E-5	0.0066898304148112235
4.893550215E8	0.0	0.0
4.932764735E8	0.0	0.0
4.980244045E8	0.0	0.0
5.058673085E8	6.043679739035439E-5	0.0077659058453210476
5.137102125E8	2.0273102922080903E-5	0.004502566259599175
5.215531165E8	2.4225720472926866E-5	0.004908993448861395
5.293960205E8	1.4917943659644437E-5	0.003862375390824206
5.372389245E8	8.376999131954184E-5	0.009103706101132793
5.450818285E8	7.943486239280757E-5	0.008898306288776647
5.529247325E8	6.27318656456843E-5	0.007888082813829555
5.607676365E8	3.7103603461166936E-5	0.006059793072810211
5.686105405E8	0.0	0.0
5.764534445E8	0.0	0.0
5.842963485E8	0.0	0.0
5.921392525E8	0.0	0.0
5.999821565E8	0.0	0.0
6.078250605E8	1.2240364028426206E-5	0.003498623161820405
6.156679645E8	3.11109252389166E-5	0.005566275365713937
6.235108685E8	0.0	0.0
6.313537725E8	0.0	0.0
6.391966765E8	2.014559913011813E-5	0.004474158617902964
6.470395805E8	0.0	0.0
6.548824845E8	2.5245750808629047E-5	0.005024514982426567
6.627253885E8	0.0	0.0
6.705682925E8	3.6976099669204164E-5	0.006049263450480219
6.784111965E8	4.768641819407709E-5	0.006877783568722469
6.862541005E8	4.500883856285886E-5	0.0066131536080172165
6.903239885E8	0.0	0.0
6.942454405E8	2.315124028098476E-4	0.02752002322562658
7.019399085E8	5.2914073664550786E-5	0.007212596420208979
7.097828125E8	2.7285811480033418E-5	0.005223582245933668
7.176257165E8	4.488133477089609E-5	0.00669935330990209
7.254686205E8	1.2622875404314524E-5	0.0035528686162472323
7.333115245E8	1.9125568794415946E-5	0.00434402592194043
7.411544285E8	8.925265437394107E-6	0.0029875182739849656
7.489973325E8	4.781392198603987E-5	0.006914761166232704
7.568402365E8	1.2112860236463433E-5	0.0034803534642997734
7.646831405E8	6.655697940456749E-5	0.008079724097080281
7.725260445E8	2.2440667385448045E-5	0.00473715815499631
7.803689485E8	1.1475341276649567E-5	0.003349676654951045
7.882118525E8	1.160284506861234E-5	0.003406294918032251
7.960547565E8	1.6702996747123258E-5	0.004086929990484698
8.038976605E8	5.265906608062524E-5	0.007839440523791005
8.117405645E8	0.0	0.0
8.195834685E8	1.2622875404314524E-5	0.0035528686162472323
8.274263725E8	1.6575492955160486E-5	0.0040713011378625
8.352692765E8	1.6830500539086033E-5	0.004102499303971426
8.431121805E8	0.0	0.0
8.509550845E8	0.0	0.0
8.587979885E8	1.2916134125828902E-4	0.015157896724708112
8.666408925E8	0.0	0.0
8.744837965E8	1.8233042250676536E-5	0.004270016656955396
8.800159745E8	5.1529558720725936E-5	0.007178409205438621
8.839374265E8	3.0077127275150753E-5	0.005444663704392179
8.901696045E8	5.202154712081137E-5	0.00718603059727156
8.980125085E8	1.1883353410930441E-4	0.01626561921116912
9.058554125E8	1.249537161235175E-5	0.003534879292472623
9.136983165E8	5.865174430287557E-6	0.002421812220277938
9.215412205E8	7.40797031303711E-5	0.009201223715532694
9.293841245E8	0.0	0.0
9.372270285E8	0.0	0.0
9.450699325E8	0.0	0.0
9.529128365E8	0.0	0.0
9.607557405E8	5.469912675202961E-5	0.008746557904551013
9.685986445E8	0.0	0.0
9.764415485E8	1.9125568794415946E-5	0.004373278952275506
9.842844525E8	1.287788298824007E-5	0.0035707673119761384
9.921273565E8	2.154814084170863E-5	0.00464199750556898
9.999702605E8	0.0	0.0
1.0078131645E9	1.4280424699830573E-5	0.003762036803098529
1.0156560685E9	3.595606933350198E-5	0.005985696746539972
1.0234989725E9	3.1875947990693245E-5	0.0056458788501608185
1.0313418765E9	1.2635625783510802E-4	0.012664903090397826
1.0391847805E9	0.0	0.0
1.0470276845E9	1.9508080170304264E-5	0.00440233760385792
1.0548705885E9	1.5300455035532758E-5	0.003911579608742836
1.0606670005E9	0.0	0.0
1.0645884525E9	0.0	0.0
1.0705563965E9	1.109282990076125E-5	0.003330590022918049
1.0783993005E9	2.5373254600591822E-5	0.005037187171486863
1.0862422045E9	3.1620940406767695E-5	0.005589134908988992
1.0940851085E9	0.0	0.0
1.1019280125E9	9.180273021319654E-5	0.009527995585509806
1.1097709165E9	2.486323943274073E-5	0.00497350335686807
1.1176138205E9	0.0	0.0
1.1254567245E9	3.0218398695177195E-5	0.005473882635867493
1.1332996285E9	5.125652436903474E-5	0.007141534623952277
1.1411425325E9	0.0	0.0
1.1489854365E9	6.362439218942372E-5	0.007928390091162711
1.1568283405E9	0.0	0.0
1.1646712445E9	0.0	0.0
1.1725141485E9	2.2568171177410816E-5	0.004750596928535488
1.1803570525E9	5.2914073664550786E-5	0.007274206050460132
1.1881999565E9	6.88520476598974E-6	0.0026239673713653036
1.1960428605E9	7.77773130972915E-6	0.0027659044664930816
1.2038857645E9	1.8488049834602082E-5	0.004284920774371366
1.2117286685E9	0.0	0.0
1.2195715725E9	1.6447989163197715E-5	0.00405561205777842
1.2274144765E9	1.5937973995346622E-5	0.003992239220706423
1.232496478E9	0.0	0.0
1.23641793E9	4.310184803700964E-5	0.0065651997712948265
1.2431002845E9	0.0	0.0
1.2509431885E9	0.0	0.0
1.2587860925E9	4.972647886548146E-5	0.007024526139861189
