#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	5.793742757821553E-4
24.0	0.0
25.0	0.0
26.0	5.793742757821553E-4
27.0	0.002317497103128621
28.0	5.793742757821553E-4
29.0	0.002317497103128621
30.0	0.0028968713789107765
31.0	0.0017381228273464658
32.0	0.002317497103128621
33.0	0.0017381228273464658
34.0	0.0017381228273464658
35.0	0.006373117033603708
36.0	0.0040556199304750875
37.0	0.004634994206257242
38.0	0.003476245654692932
39.0	0.01100811123986095
40.0	0.005793742757821553
41.0	0.00869061413673233
42.0	0.007531865585168019
43.0	0.0075318655851680195
44.0	0.01622247972190035
45.0	0.016222479721900347
46.0	0.019119351100811123
47.0	0.014484356894553881
48.0	0.01738122827346466
49.0	0.02143684820393974
50.0	0.02665121668597914
51.0	0.03476245654692932
52.0	0.03128621089223639
53.0	0.03070683661645423
54.0	0.04171494785631518
55.0	0.03881807647740441
56.0	0.05156431054461182
57.0	0.04345307068366165
58.0	0.06720741599073002
59.0	0.06199304750869062
60.0	0.055619930475086905
61.0	0.05793742757821553
62.0	0.05040556199304751
63.0	0.04345307068366166
64.0	0.04171494785631519
65.0	0.030127462340672075
66.0	0.028968713789107765
67.0	0.02085747392815759
68.0	0.019119351100811123
69.0	0.010428736964078795
70.0	0.015063731170336037
71.0	0.007531865585168019
72.0	0.005793742757821554
73.0	0.0028968713789107765
74.0	5.793742757821553E-4
75.0	5.793742757821553E-4
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
