#Position (bp)	mapping quality
2.7018804285E9	59.645669291338585
2.7097233325E9	60.0
2.7175662365E9	59.11330049261084
2.7254091405E9	33.0
2.7329841135E9	59.715016441359154
2.7369055655E9	0.0
2.7410949485E9	59.7
2.7489378525E9	58.07367099204688
2.7567807565E9	0.0
2.7646236605E9	0.0
2.7724665645E9	60.0
2.7803094685E9	59.464285714285715
2.7881523725E9	0.0
2.7959952765E9	59.81072555205047
2.8038381805E9	55.6578947368421
2.8112372575E9	60.0
2.8151587095E9	31.0
2.8195239885E9	60.0
2.8273668925E9	0.0
2.8352097965E9	58.57142857142857
2.8430527005E9	59.78221415607985
2.8508956045E9	59.70443349753695
2.8587385085E9	59.51252416296537
2.8665814125E9	60.0
2.8741216335E9	57.8335832083958
2.8780430855E9	0.0
2.8822672205E9	0.0
2.8901101245E9	0.0
2.8979530285E9	0.0
2.9057959325E9	0.0
2.9136388365E9	0.0
2.9214817405E9	0.0
2.9293246445E9	0.0
2.9351800325E9	0.0
2.9391014845E9	57.509536784741144
2.9450104525E9	55.701877934272304
2.9528533565E9	60.0
2.9606962605E9	0.0
2.9685391645E9	60.0
2.9763820685E9	52.933171324422844
2.9842249725E9	54.75974025974026
2.9920678765E9	59.769673704414586
2.99611614E9	0.0
3.000037592E9	0.0
3.0077536845E9	0.0
3.0155965885E9	0.0
3.0234394925E9	60.0
3.0312823965E9	59.8116169544741
3.0391253005E9	60.0
3.045297135E9	59.4
3.049218587E9	0.0
3.0548111085E9	0.0
3.0626540125E9	0.0
3.0704969165E9	60.0
3.0783398205E9	59.66759002770083
3.0861827245E9	59.130434782608695
3.0928907945E9	59.668508287292816
3.0968122465E9	0.0
3.09927653E9	0.0
3.1030226785E9	0.0
3.105614681E9	0.0
3.1080123665E9	0.0
3.1119338185E9	0.0
3.11427545E9	0.0
3.1172291565E9	0.0
3.120508047E9	0.0
3.122814039E9	0.0
3.1264574835E9	0.0
3.129040689E9	0.0
3.129881103E9	0.0
3.1307387225E9	0.0
3.1313076835E9	0.0
3.131687018E9	0.0
3.131888339E9	0.0
3.132078968E9	0.0
3.13226738E9	0.0
3.132454328E9	0.0
3.1326411875E9	0.0
3.1328260645E9	0.0
3.13300774E9	0.0
3.133187814E9	0.0
3.1333672595E9	0.0
3.1335441525E9	0.0
3.133717719E9	0.0
3.1338901385E9	0.0
3.13406236E9	0.0
3.1342333715E9	0.0
3.1344015915E9	0.0
3.134566994E9	0.0
3.1347300145E9	58.98876404494382
3.134891489E9	0.0
3.135051647E9	0.0
3.13520893E9	0.0
3.1353554875E9	0.0
3.1354889065E9	0.0
3.1356176535E9	0.0
3.135735057E9	0.0
3.135834618E9	0.0
3.135926005E9	0.0
3.1360117025E9	0.0
3.136075328E9	0.0
3.136121232E9	0.0
3.136166011E9	0.0
3.136209618E9	0.0
3.13625305E9	0.0
3.1362957965E9	0.0
3.1363378395E9	0.0
3.136379773E9	0.0
3.13642124E9	0.0
3.1364620665E9	0.0
3.136502658E9	0.0
3.136542975E9	0.0
3.136582996E9	0.0
3.13662293E9	0.0
3.1366627875E9	0.0
3.1367021375E9	0.0
3.1367408455E9	0.0
3.1367791735E9	0.0
3.1368169995E9	0.0
3.136854336E9	0.0
3.136891249E9	0.0
3.1369277855E9	0.0
3.1369640705E9	0.0
3.1369993815E9	0.0
3.1370335305E9	0.0
3.1370642835E9	0.0
3.1370918175E9	0.0
3.137115467E9	0.0
3.137133709E9	0.0
3.1371494985E9	0.0
3.1371591335E9	0.0
