#Read position (bp)	Clipping profile
0.0	3.70868580847456
1.0	2.2299479931415362
2.0	2.064170211153529
3.0	1.9220749694495232
4.0	1.8661841743792806
5.0	1.7866108390250373
6.0	1.7041955988367135
7.0	1.600939723198469
8.0	1.5081041652851852
9.0	1.432320036376382
10.0	1.344220986519898
11.0	1.2826463817814955
12.0	1.2333866979907733
13.0	1.180337807754611
14.0	1.1424457433002093
15.0	1.108342885291248
16.0	1.0723454240595665
17.0	1.0401371692733248
18.0	1.0107708193211635
19.0	0.9908774854826028
20.0	0.9558273258622814
21.0	0.9302501823555601
22.0	0.9056203404601991
23.0	0.880043196953478
24.0	0.8620444663376372
25.0	0.8393092276649963
26.0	0.8175212906037153
27.0	0.8004698615992345
28.0	0.7786819245379537
29.0	0.7587885906993928
30.0	0.7370006536381118
31.0	0.7199492246336311
32.0	0.69531938273827
33.0	0.6773206521224292
34.0	0.6574273182838684
35.0	0.6223771586635469
36.0	0.5645917603705845
37.0	0.49070223468450125
38.0	0.39502477193713703
39.0	0.3353447704214545
40.0	0.2984000075784129
41.0	0.24914032378769074
42.0	0.23493079961729016
43.0	0.21409016416736926
44.0	0.20461714805376885
45.0	0.1904076238833682
46.0	0.17240889326752745
47.0	0.16483048037664713
48.0	0.16293587715392704
49.0	0.15819936909712684
50.0	0.14967365459488646
51.0	0.14493714653808626
52.0	0.1364114320358459
53.0	0.1297803207563256
54.0	0.4120762009416178
55.0	0.12788571753360553
56.0	0.20461714805376885
57.0	0.11557079658592499
58.0	0.11178159014048482
59.0	0.14209524170400614
60.0	0.10230857402688442
61.0	0.19135492549472827
62.0	0.22166857705824958
63.0	0.09851936758144425
64.0	0.09473016113600409
65.0	0.09757206597008422
66.0	0.20745905288784894
67.0	0.10041397080416434
68.0	0.15914667070848687
69.0	0.09946666919280431
70.0	0.20840635449920902
71.0	0.21409016416736926
72.0	0.11083428852912479
73.0	0.10704508208368463
74.0	0.10041397080416434
75.0	0.09946666919280431
76.0	0.10230857402688442
77.0	0.10230857402688442
78.0	0.17240889326752745
79.0	0.092835557913284
80.0	0.09378285952464405
81.0	0.092835557913284
82.0	0.09094095469056393
83.0	0.09567746274736413
84.0	0.09188825630192397
85.0	0.092835557913284
86.0	0.13072762236768565
87.0	0.11462349497456494
88.0	0.10136127241552437
89.0	0.10325587563824445
90.0	0.10230857402688442
91.0	0.10041397080416434
92.0	0.10609778047232457
93.0	0.11178159014048482
94.0	0.19419683032880838
95.0	0.10988698691776476
96.0	0.11083428852912479
97.0	0.11651809819728504
98.0	0.1250438126995254
99.0	0.2150374657787293
100.0	0.13356952720176576
101.0	0.13925333686992603
102.0	0.1506209562062465
103.0	0.14967365459488646
104.0	0.1506209562062465
105.0	0.1487263529835264
106.0	0.15156825781760655
107.0	0.15346286104032664
108.0	0.1572520674857668
109.0	0.1695669884334473
110.0	0.16483048037664713
111.0	0.23682540284001025
112.0	0.15914667070848687
113.0	0.15535746426304672
114.0	0.16483048037664713
115.0	0.22072127544688955
116.0	0.15914667070848687
117.0	0.15914667070848687
118.0	0.16577778198800716
119.0	0.1714615916561674
120.0	0.17998730615840777
121.0	0.17619809971296763
122.0	0.18093460776976783
